EMPRESA,ANO,TIPO
2LA EVENTOS,2025,EMPRESA DE EVENTOS
3 MARIAS CAFETERIA,2025,ALIMENTAÇÃO FORA DO LAR
"4L'S CONSERTOS, PEÇAS E SERVIÇOS",2025,LOJAS DE VAREJO
77 FERRAMENTAS E EQUIPAMENTOS LTDA,2025,LOJAS DE VAREJO
88 BIER,2023,ALIMENTAÇÃO FORA DO LAR
A&G RESTAURANTE LTDA,2024,ALIMENTAÇÃO FORA DO LAR
A&M MONTAGENS E EVENTOS,2017,EMPRESA DE EVENTOS
A&M MONTAGENS E EVENTOS,2016,EMPRESA DE EVENTOS
A&M MONTAGENS E EVENTOS,2018,EMPRESA DE EVENTOS
A&M MONTAGENS E EVENTOS,2022,EMPRESA DE EVENTOS
A&M MONTAGENS E EVENTOS,2019,EMPRESA DE EVENTOS
A&M MONTAGENS E EVENTOS,2024,EMPRESA DE EVENTOS
A&M MONTAGENS E EVENTOS,2023,EMPRESA DE EVENTOS
A&M MONTAGENS E EVENTOS,2015,EMPRESA DE EVENTOS
A&M MONTAGENS E EVENTOS,2014,EMPRESA DE EVENTOS
ABAETE BAR E RESTAURANTE LTDA,2024,ALIMENTAÇÃO FORA DO LAR
ABIG PNEUS,2022,MANUTENÇÃO DE VEÍCULOS
ABSOLUTO ESPORTE BAR & GASTRONOMIA,2022,ALIMENTAÇÃO FORA DO LAR
ACADEMIA FIT LINE,2022,ACADEMIA
ACADEMIA FIT LINE,2024,ACADEMIA
ACADEMIA FIT LINE,2023,ACADEMIA
ACADEMIA FITNESS EXCLUSIVE LTDA,2024,ACADEMIA
ACADEMIA FLEC,2022,ACADEMIA
ACADEMIA LEILA FIT CLUB,2022,ACADEMIA
ACADEMIA MAIS FITNESS,2024,ACADEMIA
ACADEMIA TAUROS ,2022,ACADEMIA
ACADEMIA TAUROS ,2023,ACADEMIA
ACARAGRI,2025,LOJAS DE VAREJO
ADRIANO PRADO MARQUES,2025,MANUTENÇÃO DE VEÍCULOS
AFETUR VIAGENS E TURISMO LTDA,2024,AGÊNCIA DE VIAGENS 
AFETUR VIAGENS E TURISMO LTDA,2022,AGÊNCIA DE VIAGENS
ÁGAPE ACADEMIA,2024,ACADEMIA
AGENCIA DE TURISMO ICARAIZINHO ADVENTURE,2024,AGÊNCIA DE VIAGENS 
AGENCIA FORTALEZENSE DE EXCURSOES E TURISMO LTDA - AFETUR TURISMO,2023,AGÊNCIA DE VIAGENS 
AGÊNCIA TERA,2024,EMPRESA DE EVENTOS
AGROPECUARIA PONTO 13,2025,LOJAS DE VAREJO
ÁGUA VIVA RESTAURANTE E BAR,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
ÁGUA VIVA RESTAURANTE E BAR,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
AKZO BEACH PRAIA DE MACEIÓ,2023,ALIMENTAÇÃO FORA DO LAR
ALBURQUERQUE DELICATESSEN,2019,ALIMENTAÇÃO FORA DO LAR
ALECRIM BISTRÔ,2025,ALIMENTAÇÃO FORA DO LAR
ALFA ACADEMIA FITNESS,2024,ACADEMIA
ALFA LABORATORIO CLINICO,2025,SERVIÇOS LABORATORIAIS
ALISON DE SOUSA SABOIA LTDA,2025,ALIMENTAÇÃO FORA DO LAR
ALOHA JERI,2017,HOSPEDAGEM
ALOHA VILLAGE,2023,HOSPEDAGEM
ALÔW PIZZA,2018,ALIMENTAÇÃO FORA DO LAR
ALÔW PIZZA,2019,ALIMENTAÇÃO FORA DO LAR
ALQUIMIA BEACH,2023,ALIMENTAÇÃO FORA DO LAR
ALQUIMIA RESTAURANTE & BISTRÔ,2023,ALIMENTAÇÃO FORA DO LAR
ALTA PERFORMANCE ESCOLA DE GINÁSTICA E DANÇA LTDA,2023,ACADEMIA
AME (AMBULATÓRIO DE MEDIDAS DE ENFERMAGEM),2024,SERVIÇOS DE SAÚDE
AMÉRICA BEER,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
AMÉRICA BEER,2014,ALIMENTAÇÃO FORA DO LAR
AMÉRICA BEER FUXICO,2016,ALIMENTAÇÃO FORA DO LAR
AMÉRICA BEER FUXICO,2015,ALIMENTAÇÃO FORA DO LAR
AMÉRICA BEER SUL,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
AMÉRICA DO CHOP,2024,ALIMENTAÇÃO FORA DO LAR
AMOROXO,2024,ALIMENTAÇÃO FORA DO LAR
AMOVET CLINICA VETERINARIA,2024,SERVIÇOS DE SAÚDE
ANTIGUUS GASTROBAR,2025,ALIMENTAÇÃO FORA DO LAR
ANTONIA DORIS FERNANDES,2025,HOSPEDAGEM 
ANTONIO NEURIDES UCHOA DA SILVA ,2024,ALIMENTAÇÃO FORA DO LAR
AQUARELA PALACE HOTEL,2019,HOSPEDAGEM 
ARAJARA PARK,2018,HOSPEDAGEM
AREA 42 COWORKING E TECHHUB LTDA,2024,COWORKING
ARMAZÉM DA ESQUINA GASTROBAR,2025,ALIMENTAÇÃO FORA DO LAR
ARMONIA LOUNGE & RESTAURANT,2023,ALIMENTAÇÃO FORA DO LAR
ARQUITETA EVENTOS,2014,EMPRESA DE EVENTOS
ART CAFÉ,2017,ALIMENTAÇÃO FORA DO LAR
ART CAFÉ,2016,ALIMENTAÇÃO FORA DO LAR
ARTCOM,2025,LOJAS DE VAREJO
ARTE MASSAS DELICATESSEN,2019,ALIMENTAÇÃO FORA DO LAR
ARX EVENTOS,2019,EMPRESA DE EVENTOS
ARX EVENTOS,2018,EMPRESA DE EVENTOS
ARX EVENTOS,2017,EMPRESA DE EVENTOS
ARX EVENTOS,2016,EMPRESA DE EVENTOS
ARX EVENTOS,2015,EMPRESA DE EVENTOS
ARX EVENTOS,2013,EMPRESA DE EVENTOS
ARX EVENTOS,2011 / 2012,EMPRESA DE EVENTOS
ARX EVENTOS,2009 / 2010,EMPRESA DE EVENTOS
ARX EVENTOS,2024,EMPRESA DE EVENTOS
ARX EVENTOS,2023,EMPRESA DE EVENTOS
ARX EVENTOS,2014,EMPRESA DE EVENTOS
ARX EVENTOS,2022,EMPRESA DE EVENTOS
ATLETIVE SPORT CENTER ACADEMIA E SERVICOS LTDA,2021,ACADEMIA
AUDI SOM APARELHOS AUDITIVOS,2025,LOJAS DE VAREJO
AUTO PECAS PAULISTA,2024,MANUTENÇÃO DE VEÍCULOS
AUTO PECAS PAULISTA,2025,MANUTENÇÃO DE VEÍCULOS
AUTOTRACK,2025,MANUTENÇÃO DE VEÍCULOS
AVENIDA BAR E RESTO,2018,ALIMENTAÇÃO FORA DO LAR
AVENIDA BAR E RESTO,2017,ALIMENTAÇÃO FORA DO LAR
BALCONE RESTÔ,2019,ALIMENTAÇÃO FORA DO LAR
BALU DOCES – ALDEOTA,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
BALU DOCES – MEIRELES,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
BAMBU FOOD GARDEN,2025,ALIMENTAÇÃO FORA DO LAR
BANGALÔS SOL DE LAGOINHA ,2024,HOSPEDAGEM 
BAR E RESTAURANTE TEMPERO DO MAR,2023,ALIMENTAÇÃO FORA DO LAR
BARBARIANS PUB,2023,ALIMENTAÇÃO FORA DO LAR
BARRACA ÁGUA VIVA,2014,ALIMENTAÇÃO FORA DO LAR
BARRACA AMÉRICA DO SOL,2013,ALIMENTAÇÃO FORA DO LAR
BARRACA AMÉRICA DO SOL,2023,ALIMENTAÇÃO FORA DO LAR
BARRACA AMÉRICA DO SOL,2022,ALIMENTAÇÃO FORA DO LAR
BARRACA AMÉRICA DO SOL,2019,ALIMENTAÇÃO FORA DO LAR
BARRACA AMÉRICA DO SOL,2018,ALIMENTAÇÃO FORA DO LAR
BARRACA AMÉRICA DO SOL,2017,ALIMENTAÇÃO FORA DO LAR
BARRACA AMÉRICA DO SOL,2016,ALIMENTAÇÃO FORA DO LAR
BARRACA AMÉRICA DO SOL,2015,ALIMENTAÇÃO FORA DO LAR
BARRACA AMÉRICA DO SOL,2014,ALIMENTAÇÃO FORA DO LAR
